,0,1
0,[0.16286364 0.16286364 0.16286364 ... 0.214421   0.214421   0.214421  ],"('DB00460',)"
1,[0.1610351  0.1610351  0.1610351  ... 0.20272434 0.20272434 0.20272434],"('DB06148',)"
2,[0.19926462 0.19926462 0.19926462 ... 0.26860404 0.26860404 0.26860404],"('DB00517',)"
3,[0.1932247 0.1932247 0.1932247 ... 0.2609487 0.2609487 0.2609487],"('DB01090',)"
4,[0.16492727 0.16492727 0.16492727 ... 0.21691385 0.21691385 0.21691385],"('DB01168',)"
5,[0.15097347 0.15097347 0.15097347 ... 0.19993624 0.19993624 0.19993624],"('DB00462',)"
6,[0.15372878 0.15372878 0.15372878 ... 0.2024278  0.2024278  0.2024278 ],"('DB00732',)"
7,[0.18189189 0.18189189 0.18189189 ... 0.24227595 0.24227595 0.24227595],"('DB00332',)"
8,[0.18132746 0.18132746 0.18132746 ... 0.2398166  0.2398166  0.2398166 ],"('DB00670',)"
9,[0.18615958 0.18615958 0.18615958 ... 0.24914902 0.24914902 0.24914902],"('DB01409',)"
10,[0.18135944 0.18135944 0.18135944 ... 0.23994237 0.23994237 0.23994237],"('DB06702',)"
11,[0.18850844 0.18850844 0.18850844 ... 0.2512959  0.2512959  0.2512959 ],"('DB00967',)"
12,[0.18614203 0.18614203 0.18614203 ... 0.25294    0.25294    0.25294   ],"('DB00219',)"
13,[0.18536979 0.18536979 0.18536979 ... 0.2476899  0.2476899  0.2476899 ],"('DB01037',)"
14,[0.18346286 0.18346286 0.18346286 ... 0.24692765 0.24692765 0.24692765],"('DB00387',)"
15,[0.1848455  0.1848455  0.1848455  ... 0.24578008 0.24578008 0.24578008],"('DB01036',)"
16,[0.17202182 0.17202182 0.17202182 ... 0.23091698 0.23091698 0.23091698],"('DB00572',)"
17,[0.18598826 0.18598826 0.18598826 ... 0.2554021  0.2554021  0.2554021 ],"('DB09300',)"
18,[0.1820333  0.1820333  0.1820333  ... 0.24125022 0.24125022 0.24125022],"('DB01247',)"
19,[0.18863125 0.18863125 0.18863125 ... 0.25236082 0.25236082 0.25236082],"('DB01116',)"
20,[0.1645711  0.1645711  0.1645711  ... 0.21684873 0.21684873 0.21684873],"('DB01591',)"
21,[0.1789779  0.1789779  0.1789779  ... 0.24398676 0.24398676 0.24398676],"('DB00182',)"
22,[0.19120452 0.19120452 0.19120452 ... 0.26111805 0.26111805 0.26111805],"('DB09244',)"
23,[0.16247827 0.16247827 0.16247827 ... 0.2161496  0.2161496  0.2161496 ],"('DB09076',)"
24,[0.17649734 0.17649734 0.17649734 ... 0.23616615 0.23616615 0.23616615],"('DB00780',)"
25,[0.16871944 0.16871944 0.16871944 ... 0.22513315 0.22513315 0.22513315],"('DB01199',)"
26,[0.15354452 0.15354452 0.15354452 ... 0.20255688 0.20255688 0.20255688],"('DB01171',)"
27,[0.20605218 0.20605218 0.20605218 ... 0.27621037 0.27621037 0.27621037],"('DB00209',)"
28,[0.1567223  0.1567223  0.1567223  ... 0.20423946 0.20423946 0.20423946],"('DB00614',)"
29,[0.20411044 0.20411044 0.20411044 ... 0.26911527 0.26911527 0.26911527],"('DB00483',)"
30,[0.16663487 0.16663487 0.16663487 ... 0.21586892 0.21586892 0.21586892],"('DB00908',)"
31,[0.17476836 0.17476836 0.17476836 ... 0.23116377 0.23116377 0.23116377],"('DB00657',)"
32,[0.19927618 0.19927618 0.19927618 ... 0.27134693 0.27134693 0.27134693],"('DB00424',)"
33,[0.17474957 0.17474957 0.17474957 ... 0.22728384 0.22728384 0.22728384],"('DB00782',)"
34,[0.18210682 0.18210682 0.18210682 ... 0.2411302  0.2411302  0.2411302 ],"('DB00376',)"
35,[0.1826728 0.1826728 0.1826728 ... 0.2472235 0.2472235 0.2472235],"('DB00752',)"
